text,label,clean_text
"Jahan tak geet ke video ka talluq hai to us ko jadeed technology ke sath shoot kiya jaega, ta ke mera geet sirf Pakistani channels par he nahi, bal keg her mulki music channels se bhi on ear ho sake",Positive,jahan tak geet ke video ka talluq hai to us ko jadeed technology ke sath shoot kiya jaega ta ke mera geet sirf pakistani channels par he nahi bal keg her mulki music channels se bhi on ear ho sake
"Aik sawal ke jawab mien Mathira ne bataya ke main all rounder rahon aur bataur all rounder acting, modeling, hosting aur singing jari rahegi",Positive,aik sawal ke jawab mien mathira ne bataya ke main all rounder rahon aur bataur all rounder acting modeling hosting aur singing jari rahegi
"Is liye mujhe jo bhi kaam acha lagta hai, main zaroor kar rahi hon, lekin film ka naam apne role aur film ki kahani ke barey mien kuch nahi bata sakti",Positive,is liye mujhe jo bhi kaam acha lagta hai main zaroor kar rahi hon lekin film ka naam apne role aur film ki kahani ke barey mien kuch nahi bata sakti
Kyun ke main ne yeh iradah kiya hai ke 2014 mien apne chahne walon ke sath sath mukhalfeen ko bhi surprise don to is le liye sab ko sabar karna ho ga,Positive,kyun ke main ne yeh iradah kiya hai ke mien apne chahne walon ke sath sath mukhalfeen ko bhi surprise don to is le liye sab ko sabar karna ho ga
Lekin is se mujhe koi farq nahi parhta,Positive,lekin is se mujhe koi farq nahi parhta
Mera focus apne kaam ki taraf hai,Positive,mera focus apne kaam ki taraf hai
Jis ko jari rakhongi,Positive,jis ko jari rakhongi
"Main ne apne kaam ke hawale se rawa’n baras ke liye jo schedule tarteeb diya hai Is mien film, TV aur music ke ilawa beron mumalik programs mein performance bhi shamil hai",Positive,main ne apne kaam ke hawale se rawa n baras ke liye jo schedule tarteeb diya hai is mien film tv aur music ke ilawa beron mumalik programs mein performance bhi shamil hai
Is liye yeh saal meri kamiyabiyon aur career mien nae direction ka saal hai,Positive,is liye yeh saal meri kamiyabiyon aur career mien nae direction ka saal hai
Mathira ne aik sawal ke jawab mien bataya ke fashion industry ke liye bohat se projects sign kiye hain,Positive,mathira ne aik sawal ke jawab mien bataya ke fashion industry ke liye bohat se projects sign kiye hain
Fashion shows mien cat walk to nahi lekin Tv commercials aur photo shoot ke projects mien kaam karongi,Positive,fashion shows mien cat walk to nahi lekin tv commercials aur photo shoot ke projects mien kaam karongi
Bohat se Multinational brands ne is silsila mien apni products ki tasheer ke liye sign kiya hai,Positive,bohat se multinational brands ne is silsila mien apni products ki tasheer ke liye sign kiya hai
Jis ke liye Malaysia mien bhi kuch photo shoot kiye jaenge,Positive,jis ke liye malaysia mien bhi kuch photo shoot kiye jaenge
Inho ne kaha ke hamare mulk mien private productions ke banner taley bohat se ache drama banae ja rahe hain,Positive,inho ne kaha ke hamare mulk mien private productions ke banner taley bohat se ache drama banae ja rahe hain
"Is liye ab aane wale nae dramas mien, main baqaiyda kuch sanjeeda roles mien dikhai dongi",Positive,is liye ab aane wale nae dramas mien main baqaiyda kuch sanjeeda roles mien dikhai dongi
Wo dekh saken ke main sanjeeda kaam karne ki aehal hon aur ab in ko mere kaam ke zariye he behtar jawab milega,Positive,wo dekh saken ke main sanjeeda kaam karne ki aehal hon aur ab in ko mere kaam ke zariye he behtar jawab milega
Lollywood Actress Resham ka kehna hai ke baaz actresses meri kamiyabiyon se hasad karti hain lekin mujhe in ki qatai koi parwah nahi hai,Positive,lollywood actress resham ka kehna hai ke baaz actresses meri kamiyabiyon se hasad karti hain lekin mujhe in ki qatai koi parwah nahi hai
Main naik niyati se apne kaam par tawajja markooz kiye hue hon aur is ka mujhe phal bhi mil raha hai,Positive,main naik niyati se apne kaam par tawajja markooz kiye hue hon aur is ka mujhe phal bhi mil raha hai
Yeh sirf ALLAH PAK ki zaat hai jo zarre ko aaftab bana deta hai,Positive,yeh sirf allah pak ki zaat hai jo zarre ko aaftab bana deta hai
Main apne tamam fankar sathiyon ki izzat karti hon aur in ki shandar performance par in ko mubarakbad deti hon,Positive,main apne tamam fankar sathiyon ki izzat karti hon aur in ki shandar performance par in ko mubarakbad deti hon
Geo aur Jeene do mera falsafa hai aur agar hum is par karband ho jaey to is mulk ke masaiyl barhi had tak kam ho sakte hain,Positive,geo aur jeene do mera falsafa hai aur agar hum is par karband ho jaey to is mulk ke masaiyl barhi had tak kam ho sakte hain
Actress Laila aur Nirma ne showbiz mien in hone ke liye koshishen tez kar di,Positive,actress laila aur nirma ne showbiz mien in hone ke liye koshishen tez kar di
Pakistan film producers association se films ke naam registered karne se qabal is ko behtar karne ke liye mulaqat karongi,Positive,pakistan film producers association se films ke naam registered karne se qabal is ko behtar karne ke liye mulaqat karongi
Film industry ki bahali ke liye hukomat se madad mangne ke bajae humen apni madad aap ke tehat film banani chahiye,Positive,film industry ki bahali ke liye hukomat se madad mangne ke bajae humen apni madad aap ke tehat film banani chahiye
Fankar bila muaawza kaam karen aur film ki release ke bad apne muaawze wasool karen,Positive,fankar bila muaawza kaam karen aur film ki release ke bad apne muaawze wasool karen
Zeba Begum ne guzishta roze apni rehaiyshgaah par Karachi ki film and Tv journalist association aur Lahore ki cultural journalist foundation ke wafood se mulaqat ke dauran bataya ke apni zimmedari ko imandari ke sath nibhaongi,Positive,zeba begum ne guzishta roze apni rehaiyshgaah par karachi ki film and tv journalist association aur lahore ki cultural journalist foundation ke wafood se mulaqat ke dauran bataya ke apni zimmedari ko imandari ke sath nibhaongi
Past mien film industry ka mahaul bohat acha tha aur is ko behtar rakhne ke liye hum sab fankar mil kar koshish karte the,Positive,past mien film industry ka mahaul bohat acha tha aur is ko behtar rakhne ke liye hum sab fankar mil kar koshish karte the
Abhi bhi is ko behtar kiya ja sakta hai,Positive,abhi bhi is ko behtar kiya ja sakta hai
Main ne past mien jo kaam kiya wo logon ko aaj tak yaad hai,Positive,main ne past mien jo kaam kiya wo logon ko aaj tak yaad hai
Inho ne kaha ke hamare mulk mien naujawano ne filmsazi ke shobey mien qadam rakha hai aur wo bohat acha kaam kar rahe hain,Positive,inho ne kaha ke hamare mulk mien naujawano ne filmsazi ke shobey mien qadam rakha hai aur wo bohat acha kaam kar rahe hain
Adakara Meera ko hospital ki tamer ke leye teen aekar arazi ki farahmi ki dastawez par dastakhat kar deye gaye,Positive,adakara meera ko hospital ki tamer ke leye teen aekar arazi ki farahmi ki dastawez par dastakhat kar deye gaye
Meera ko hospital ki tamer ke leye ye arazi Sialkot ki siyasi shakhsiyat Naeem Ghuman ne faraham ki hai,Positive,meera ko hospital ki tamer ke leye ye arazi sialkot ki siyasi shakhsiyat naeem ghuman ne faraham ki hai
Press culb mein pur hujom press conference mein Meera aur Naeem Ghuman ne dastawez par dastakhat kiye,Positive,press culb mein pur hujom press conference mein meera aur naeem ghuman ne dastawez par dastakhat kiye
Kisi interview ya guftugo ka aik aurbarha aeham nukta yeh hota hai ek maizbaan… Mehmaan ko apni baat kehne ka ziyada se ziyada mauqa de,Positive,kisi interview ya guftugo ka aik aurbarha aeham nukta yeh hota hai ek maizbaan mehmaan ko apni baat kehne ka ziyada se ziyada mauqa de
"Zia Mohyeddin chunke tarbiyat yafta broadcaster hain aur bairoon mulk radio aur television ka wasee tajurba rakhte hain, lehaza wo in usoolon se bakhubi waqif hain, is liye inho ne hamesha apne mehmano ko markazi aehmiyat di",Positive,zia mohyeddin chunke tarbiyat yafta broadcaster hain aur bairoon mulk radio aur television ka wasee tajurba rakhte hain lehaza wo in usoolon se bakhubi waqif hain is liye inho ne hamesha apne mehmano ko markazi aehmiyat di
Razia Sheer Khan: Bilkul aik ache trainer ke sath sath ache nutritionist ki bari ahamiyat hai,Positive,razia sheer khan bilkul aik ache trainer ke sath sath ache nutritionist ki bari ahamiyat hai
 zahir hai ke aik balance diet aap ki karkardagi ko aage barhane mein mawin sabit hoti hai,Positive,zahir hai ke aik balance diet aap ki karkardagi ko aage barhane mein mawin sabit hoti hai
 is mein protein ka imtezaj aur pani ka istemal bari ahamiyat ka hamil hota hai,Positive,is mein protein ka imtezaj aur pani ka istemal bari ahamiyat ka hamil hota hai
Question: Apni karkardagi ko behtar banane ke leye rozana kitne ghante practice karti hain?,Positive,question apni karkardagi ko behtar banane ke leye rozana kitne ghante practice karti hain
Unhen hukumat ki janib se har tarah ki support hasil hoti hai,Positive,unhen hukumat ki janib se har tarah ki support hasil hoti hai
yahan ke athletes job karne ke elawa zindagi ki tamam mushkilat bardasht karne ke sath sath kheelne ke leye waqat nikalte hain aur mulk ke leye bohat kuch karne ka jazba rkhte hain,Positive,yahan ke athletes job karne ke elawa zindagi ki tamam mushkilat bardasht karne ke sath sath kheelne ke leye waqat nikalte hain aur mulk ke leye bohat kuch karne ka jazba rkhte hain
 Main aik baat zaroro kahon gi ke in tamam mushkilat ke bawajod Pakistan mein talent ki koi kami nahi hai,Positive,main aik baat zaroro kahon gi ke in tamam mushkilat ke bawajod pakistan mein talent ki koi kami nahi hai
"agar tartan track achi ho gi to aap ki training aur practice ka mayar bhi acha ho ga,",Positive,agar tartan track achi ho gi to aap ki training aur practice ka mayar bhi acha ho ga
"achi tartan track par training ke doran aap enjoy karte hain,",Positive,achi tartan track par training ke doran aap enjoy karte hain
aap ko is mein bounce milta hai jis se karkardgi behtar bannane mein madad milti hai,Positive,aap ko is mein bounce milta hai jis se karkardgi behtar bannane mein madad milti hai
Question: Aik athlete ko apni karkadgi behtar banane ke leye ache joggers (jote) kitana aham kirdar ada karte hain?,Positive,question aik athlete ko apni karkadgi behtar banane ke leye ache joggers jote kitana aham kirdar ada karte hain
Razia Sheer Khan: Haqiqat to ye hai ke mayari joggers mehange to hote hain lekin in ka balance bohat acha hota hai jo aap ki karkadagi ko na sirf behtar karta hai balke aap bohat acha mehsos karte hain,Positive,razia sheer khan haqiqat to ye hai ke mayari joggers mehange to hote hain lekin in ka balance bohat acha hota hai jo aap ki karkadagi ko na sirf behtar karta hai balke aap bohat acha mehsos karte hain
Ye baat bilkul sahi hai ke mayari joggers majmoi karkardagi ko behtar banane mein dosri cheizon ke sath sath aham kirdar ada karte hain,Positive,ye baat bilkul sahi hai ke mayari joggers majmoi karkardagi ko behtar banane mein dosri cheizon ke sath sath aham kirdar ada karte hain
Question: Pakistan ki kis athlete khatoon se sab se ziyadah mutasir hain?,Positive,question pakistan ki kis athlete khatoon se sab se ziyadah mutasir hain
Razia Sheer Khan: Main Pakistan ki international athlete Shazia Khan se bohat mutasir hun,Positive,razia sheer khan main pakistan ki international athlete shazia khan se bohat mutasir hun
main ne jab quomi satah par ibteda ki to na sirf main ne un ko ideal banaya balke un se training bhi li,Positive,main ne jab quomi satah par ibteda ki to na sirf main ne un ko ideal banaya balke un se training bhi li
 Ye ibteda mein un ki training ka hi natija tha ke mujhe un se bohat kuch sekhne ka moqa mila aur apni karkardagi ko behtar banane mein kamyab rahi,Positive,ye ibteda mein un ki training ka hi natija tha ke mujhe un se bohat kuch sekhne ka moqa mila aur apni karkardagi ko behtar banane mein kamyab rahi
 Is se phele Snidh games par nazaren hain jis mein aik martaba phir apni sabiqa achi karkardagi ko dohrana chahon gi,Positive,is se phele snidh games par nazaren hain jis mein aik martaba phir apni sabiqa achi karkardagi ko dohrana chahon gi
" Mujhe is baat ki khushi hai ke main ne 2013 ke games mein infaradi tor par sab se ziyadah 8 gold medals leye the, jo aik record hai",Positive,mujhe is baat ki khushi hai ke main ne ke games mein infaradi tor par sab se ziyadah gold medals leye the jo aik record hai
 main chahon gi ke is record ko mazid behtar banao,Positive,main chahon gi ke is record ko mazid behtar banao
Razia Sheer Khan: Abhi to mereghar walon ne mujhe har tarh ka support kiya hai,Positive,razia sheer khan abhi to mereghar walon ne mujhe har tarh ka support kiya hai
main samajti hunk e karkardagi ko behtar banane aur tasasul ko qaim rakhne ke leye achi mulazimat ki bari ahamiyat hai,Positive,main samajti hunk e karkardagi ko behtar banane aur tasasul ko qaim rakhne ke leye achi mulazimat ki bari ahamiyat hai
Mohibullah ne 3 mertaba British open ke final mein pahonche magar teeno mertaba woh Azam Khan ke vhaton shikast sey do char ho gae final mein bhi unhon ne bahot zaberdast khail ka mozahra keya megar un ke mamoon ne apne tajurbe sey faida uthate hue bazi jeet li,Positive,mohibullah ne mertaba british open ke final mein pahonche magar teeno mertaba woh azam khan ke vhaton shikast sey do char ho gae final mein bhi unhon ne bahot zaberdast khail ka mozahra keya megar un ke mamoon ne apne tajurbe sey faida uthate hue bazi jeet li
 Akhir kar British open title Mohibullah ke hisse mein 1962 mein aya yeh sabit qadmi ki fatah thi unki mehnat rang lai aur qismat neb hi un ka khoob sath deya,Positive,akhir kar british open title mohibullah ke hisse mein mein aya yeh sabit qadmi ki fatah thi unki mehnat rang lai aur qismat neb hi un ka khoob sath deya
woh ibtedai round ke matches mein behtareen kar kerdagi ka mozahra kerke final mein pahonche they,Positive,woh ibtedai round ke matches mein behtareen kar kerdagi ka mozahra kerke final mein pahonche they
1964 mein Mohibullah ne apne bare mein apne mamoon Hashim Khan ko do bare tournament ke final mein shikast di pehle unhon ne US open jeeta aur phir candian open ,Positive,mein mohibullah ne apne bare mein apne mamoon hashim khan ko do bare tournament ke final mein shikast di pehle unhon ne us open jeeta aur phir candian open
 1964 mein Mohibullah ko America mein koching ka moqa bhi mila Boston mein qaim Harrods club ne Mohibullah Khan ko professional coach moqarar kiya tha,Positive,mein mohibullah ko america mein koching ka moqa bhi mila boston mein qaim harrods club ne mohibullah khan ko professional coach moqarar kiya tha
"Many times, he has elected President of the World Squash Federation",Positive,many times he has elected president of the world squash federation
Squash ki Duniya key leyea bea taj Badsha aur tareekh key behtareen khelari Jahangir Khan 10 December 1963 key roze Karachi mein paida huae,Positive,squash ki duniya key leyea bea taj badsha aur tareekh key behtareen khelari jahangir khan december key roze karachi mein paida huae
 Jahangir Khan na Squash ke maidan mein Pakistan ka nam roshan kei,Positive,jahangir khan na squash ke maidan mein pakistan ka nam roshan kei
Iss ke baad Jhangir Khan ke walid Roshan Khan aur bhai Torsam Khan kamyabian hasil kein te rahe,Positive,iss ke baad jhangir khan ke walid roshan khan aur bhai torsam khan kamyabian hasil kein te rahe
App ney pehli kamiabi September 1979 mein 16 sal ki umer mein gair peasha wer khelaryon ki almi chapion ship jeet ker hasil ki ,Positive,app ney pehli kamiabi september mein sal ki umer mein gair peasha wer khelaryon ki almi chapion ship jeet ker hasil ki
iss waqae ney Jhangir Khan ki nafsiat par ghara aser dala unhon ney shabana roz terbiat aur sakht mehnet ka silsila shuru ker dea aur apney kazen Rehmat Khan ki cotching mein aisey khelari baney key sirf 17 sal ki umer mein unhon ney Australia key Jeef HFunt ko shikasht dea ker world open jeet lea,Positive,iss waqae ney jhangir khan ki nafsiat par ghara aser dala unhon ney shabana roz terbiat aur sakht mehnet ka silsila shuru ker dea aur apney kazen rehmat khan ki cotching mein aisey khelari baney key sirf sal ki umer mein unhon ney australia key jeef hfunt ko shikasht dea ker world open jeet lea
Yahan sey Jahangir Khan ki kamyabeon key silseley ka agaz hua aur moselsel 5 sal tek who na qabil e shishat rahtey huae kamyabeon par kamyabian hasil ker tey gae ,Positive,yahan sey jahangir khan ki kamyabeon key silseley ka agaz hua aur moselsel sal tek who na qabil e shishat rahtey huae kamyabeon par kamyabian hasil ker tey gae
unhon ney sarehy panch saw sey zaid moqablon mein mosalsel kamyabi hasil ker key aisa record qaiem kea jisey shaed aenda koi na tor sekey ,Positive,unhon ney sarehy panch saw sey zaid moqablon mein mosalsel kamyabi hasil ker key aisa record qaiem kea jisey shaed aenda koi na tor sekey
1982 mein Jhangir Khan ney aik point bhi beggar Inter national Squash plears asosi ashion ki champion ship jeet ker aik dunya ko warta hairet mein dal dea,Positive,mein jhangir khan ney aik point bhi beggar inter national squash plears asosi ashion ki champion ship jeet ker aik dunya ko warta hairet mein dal dea
yehan bhi Jahangir Khan ney apna loha manwaya aur 13 tournaments mein sey 12 mein kamyabi hasil ki ,Positive,yehan bhi jahangir khan ney apna loha manwaya aur tournaments mein sey mein kamyabi hasil ki
Amrica key saf e aual key khaelari Mark Talboot sey iss dauran inn ka 13 moqabla hua aur inn mein sey 12 mertaba Jahangir Khan ney kabyabi hasil ki,Positive,amrica key saf e aual key khaelari mark talboot sey iss dauran inn ka moqabla hua aur inn mein sey mertaba jahangir khan ney kabyabi hasil ki
ibtedai moqablon mein Jahangir Khan ko kamyabi hasil hue lakin bad azan Jan Sher Khan ney mosalsel 9 moqablon meinun key khelaf kamyabi hasil ki,Positive,ibtedai moqablon mein jahangir khan ko kamyabi hasil hue lakin bad azan jan sher khan ney mosalsel moqablon meinun key khelaf kamyabi hasil ki
 Jahangir Khan key khelaf kamyabi ka iss sey behter record aur kisi khelari ka nahin,Positive,jahangir khan key khelaf kamyabi ka iss sey behter record aur kisi khelari ka nahin
 Retired honey sey pehley unhon ney mosalsel 10 bar yea ejaz hasil kea jo aik record hay,Positive,retired honey sey pehley unhon ney mosalsel bar yea ejaz hasil kea jo aik record hay
app ki kamyabeon key eteraf mein app ko sadarti temgha barae husn karkerdagi sey nawaza gea aur Canada key aik adarey ney un ki zindagi par “Fatha” nami aik film bhi taiyar ki ,Positive,app ki kamyabeon key eteraf mein app ko sadarti temgha barae husn karkerdagi sey nawaza gea aur canada key aik adarey ney un ki zindagi par fatha nami aik film bhi taiyar ki
iss key elawa almi sitah par unhein bea shumar deegar azazat sey nawaza gea woh kae mertaba almi Squash Fedreation key Sadar bhi muntakhib ho chukey hain,Positive,iss key elawa almi sitah par unhein bea shumar deegar azazat sey nawaza gea woh kae mertaba almi squash fedreation key sadar bhi muntakhib ho chukey hain
Boom boom Afridi mountains ke shehzade aur cricket ground mein sixers ka badshah…,Positive,boom boom afridi mountains ke shehzade aur cricket ground mein sixers ka badshah
" Jarihana andaaz se khelne wale khiladi to duniya mein beshumar hain, magar Afridi ki baat he kuch aur hai",Positive,jarihana andaaz se khelne wale khiladi to duniya mein beshumar hain magar afridi ki baat he kuch aur hai
Kuch log to yahan tak kehte hain ke cricket ki duniya ne in jaise mizaaj ka khiladi na dekha hai aur na shayad aaiynda dekh paaenge,Positive,kuch log to yahan tak kehte hain ke cricket ki duniya ne in jaise mizaaj ka khiladi na dekha hai aur na shayad aaiynda dekh paaenge
 In ke bare mein yeh kehna ke wo jarihana style ke all rounder hain,Positive,in ke bare mein yeh kehna ke wo jarihana style ke all rounder hain
tahum inhe ab bhi one day international aur twenty twenty ka king kaha ja sakta hai,Positive,tahum inhe ab bhi one day international aur twenty twenty ka king kaha ja sakta hai
 Agar wo bating mein johar nahi dikha pae to balling mein jadogari dikha dete hain,Positive,agar wo bating mein johar nahi dikha pae to balling mein jadogari dikha dete hain
 Isi liye Shahid ko dunioya ke behtareen all rounder ki suff mein shamil kiya jata hai,Positive,isi liye shahid ko dunioya ke behtareen all rounder ki suff mein shamil kiya jata hai
Shahid Afridi aise batsman hain ke jo khelne ke liye ground mein aate hain to aik samaa band jata hai,Positive,shahid afridi aise batsman hain ke jo khelne ke liye ground mein aate hain to aik samaa band jata hai
" Cricketer Shahid Khan Afridi us daur ki paidawar hain, jab Pakistan ne 1992 mein world cup jeeta tha aur har naujawan Imran Khan aur Javed Miandad ki tarah cricketer banna chahta tha",Positive,cricketer shahid khan afridi us daur ki paidawar hain jab pakistan ne mein world cup jeeta tha aur har naujawan imran khan aur javed miandad ki tarah cricketer banna chahta tha
"Shahid ki aamad aik toofan sabit hui, kyun ke Nairobi ground par Kenya ke khilaaf 3rd number par bating karte huie in naujawan ne 37 balls par century bana kar aalmi record torh dala tha",Positive,shahid ki aamad aik toofan sabit hui kyun ke nairobi ground par kenya ke khilaaf rd number par bating karte huie in naujawan ne balls par century bana kar aalmi record torh dala tha
" Yeh mehdood over ski tez tareen century thi, jise dekhte hue cricket ke paristaron ki oper ki saans oper aur niche ki saans niche reh gai thi",Positive,yeh mehdood over ski tez tareen century thi jise dekhte hue cricket ke paristaron ki oper ki saans oper aur niche ki saans niche reh gai thi
Sari duniya satellite Television ke zariye mebhoot ho kar yeh manzar dekh rahi thi,Positive,sari duniya satellite television ke zariye mebhoot ho kar yeh manzar dekh rahi thi
 Yun Shahid Afridi raaton raat gumnami se nikal kar aik super star ban gae the,Positive,yun shahid afridi raaton raat gumnami se nikal kar aik super star ban gae the
"Razia Sheer Khan: Abhi to mereghar walon ne mujhe har tarh ka support kiya hai,",Positive,razia sheer khan abhi to mereghar walon ne mujhe har tarh ka support kiya hai
final mein bhi unhon ne bahot zaberdast khail ka mozahra keya megar un ke mamoon ne apne tajurbe sey faida uthate hue bazi jeet li,Positive,final mein bhi unhon ne bahot zaberdast khail ka mozahra keya megar un ke mamoon ne apne tajurbe sey faida uthate hue bazi jeet li
Akhir kar British open title Mohibullah ke hisse mein 1962 mein aya yeh sabit qadmi ki fatah thi,Positive,akhir kar british open title mohibullah ke hisse mein mein aya yeh sabit qadmi ki fatah thi
unki mehnat rang lai aur qismat neb hi un ka khoob sath deya,Positive,unki mehnat rang lai aur qismat neb hi un ka khoob sath deya
pehle unhon ne US open jeeta aur phir candian open ,Positive,pehle unhon ne us open jeeta aur phir candian open
1964 mein Mohibullah ko America mein koching ka moqa bhi mila Boston mein qaim Harrods club ne Mohibullah Khan ko professional coach moqarar kiya tha,Positive,mein mohibullah ko america mein koching ka moqa bhi mila boston mein qaim harrods club ne mohibullah khan ko professional coach moqarar kiya tha
In ki maujodgi se hamesha mukhalif team par aik khauff sa taari rehta hai,Positive,in ki maujodgi se hamesha mukhalif team par aik khauff sa taari rehta hai
" January 2002 mein in ke han pehli pyari se beti Aqsa Afridi paida hui,",Positive,january mein in ke han pehli pyari se beti aqsa afridi paida hui
"Behar kaif field mein in ki maujodgi in ke sathiyon ke liye hamesha taqwiyat ka baiys hoti hai,",Positive,behar kaif field mein in ki maujodgi in ke sathiyon ke liye hamesha taqwiyat ka baiys hoti hai
 Jis ka faida qaumi team ko pohanchta hai,Positive,jis ka faida qaumi team ko pohanchta hai
"Mukhtasir dauraniye ki cricket mein Shahid Afridi ki aalmi maqboliyat ka aik sabot guzishta dino us waqt saamne aaya, jab Bangladesh premier league mein sab se barhi boli inhi ke liye di gai",Positive,mukhtasir dauraniye ki cricket mein shahid afridi ki aalmi maqboliyat ka aik sabot guzishta dino us waqt saamne aaya jab bangladesh premier league mein sab se barhi boli inhi ke liye di gai
"In ki khidmaat hasil karne ke liye Dhaka franchise ne 7 lac dollars ki peshkash ki,",Positive,in ki khidmaat hasil karne ke liye dhaka franchise ne lac dollars ki peshkash ki
 tahum Shahid Afridi ne apne Watan ke liye khelne ko daulat kamane par tarjeeh di aur England ke khilaaf series ke baiys BPL mein khelne se inkaar kar diya,Positive,tahum shahid afridi ne apne watan ke liye khelne ko daulat kamane par tarjeeh di aur england ke khilaaf series ke baiys bpl mein khelne se inkaar kar diya
" Is tarah inho ne sabit kiya ke won a sirf match winner player hain, ",Positive,is tarah inho ne sabit kiya ke won a sirf match winner player hain
bal ke aehl e watan ke dilon ko jeetne ka hunar bhi khoob jante hain,Positive,bal ke aehl e watan ke dilon ko jeetne ka hunar bhi khoob jante hain
1986 mein world junior championship jeet ker Jansher ne yeh andya de diya tha ke jeb Jahangir ke baad bhi Squash ki duniya mein Pakistan ki position number one hi rahe gi,Positive,mein world junior championship jeet ker jansher ne yeh andya de diya tha ke jeb jahangir ke baad bhi squash ki duniya mein pakistan ki position number one hi rahe gi
agr wo aysa bolyn to kaisa hoga.. ❤😜😃,Positive,agr wo aysa bolyn to kaisa hoga
Beshaq.........khush naseeb h wo log...😭😭😭,Positive,beshaq khush naseeb h wo log
Beshk. ALLAH pak ham sb ki Maa ko hamsha slamaat rekhy sahet wali lambi zandgi day Ameen.,Positive,beshk allah pak ham sb ki maa ko hamsha slamaat rekhy sahet wali lambi zandgi day ameen
ByShk 😇 Allah pak meri dOlat kOoO ta Qyamat hm p Qyaim rKhy ameen 😘😘😘😘,Positive,byshk allah pak meri dolat kooo ta qyamat hm p qyaim rkhy ameen
Beshak allah pak meri ammi ko salamt rakhy ameen,Positive,beshak allah pak meri ammi ko salamt rakhy ameen
Beshak Allah pak Waldain ko salam rakhy Ameen,Positive,beshak allah pak waldain ko salam rakhy ameen
Allah pak hr ksi ki maoan ko salamat rakhay r sahat ata karay,Positive,allah pak hr ksi ki maoan ko salamat rakhay r sahat ata karay
Meri Ami tu Batati hain AlhamdoLillah,Positive,meri ami tu batati hain alhamdolillah
Bhai lajawab,Positive,bhai lajawab
        Aakhirkar is wusat-e-beyan ka intezam bhi khud bukhari sahib he ne kar diya aur 1962 mein Fazal Ahmed Kareem Fazli ki film â€œ Chiragh Jalta Raha â€ mein Mohammed Ali ko kaam dilwaya,Positive,aakhirkar is wusat e beyan ka intezam bhi khud bukhari sahib he ne kar diya aur mein fazal ahmed kareem fazli ki film â œ chiragh jalta raha â mein mohammed ali ko kaam dilwaya
Isi film mein actress Zeba bhi pehli bar namoodar huey jinhe barson bad Mohammed Ali ki jeevan sathi banna tha aur ittefaq se Radio Pakistan ken au jawan sadakar Talat Hussain ko bhi isi film mein adakari ka pehla chance mila,Positive,isi film mein actress zeba bhi pehli bar namoodar huey jinhe barson bad mohammed ali ki jeevan sathi banna tha aur ittefaq se radio pakistan ken au jawan sadakar talat hussain ko bhi isi film mein adakari ka pehla chance mila
 Chiragh jalta raha aik aesi film thi jo Mohammed ke liye Isme Basmaa sabit hui yani is film ke bad  Mohammed Ali ke fun ka chiragh barson tak roshan raha,Positive,chiragh jalta raha aik aesi film thi jo mohammed ke liye isme basmaa sabit hui yani is film ke bad mohammed ali ke fun ka chiragh barson tak roshan raha
Chiragh jalata raha se le kar â€œ Mohabbat Ho To Aesi â€ ( 1989 ) tak apni 27 sala filmi zindagi mein Mohammed Ali ke fun ka chiragh barson tak roshan raha,Positive,chiragh jalata raha se le kar â œ mohabbat ho to aesi â tak apni sala filmi zindagi mein mohammed ali ke fun ka chiragh barson tak roshan raha
1965 se 1980 tak ke 15 baras Mohammed Ali ki acting ke urooj ka zamana hain,Positive,se tak ke baras mohammed ali ki acting ke urooj ka zamana hain
 Yad rah eke yeh daur ache actors se khali nahi tha aur mutawazi satah par Waheed Murad aur Nadeem jaise Hero bhi apne kamalat dikha rahe the,Positive,yad rah eke yeh daur ache actors se khali nahi tha aur mutawazi satah par waheed murad aur nadeem jaise hero bhi apne kamalat dikha rahe the
 Jab ke Mohammed Ali ne roz-e-awwal se apne liye jazbati acting ki mushkil dagar chun li thi,Positive,jab ke mohammed ali ne roz e awwal se apne liye jazbati acting ki mushkil dagar chun li thi
Fun ki duniya se bahar Mohameed Ali aik insaan dost ghareeb parwar aur diyalo shakhs the,Positive,fun ki duniya se bahar mohameed ali aik insaan dost ghareeb parwar aur diyalo shakhs the
  Lekin apni kuch nekiyon par unho ne sari umar pardah dale rakha,Positive,lekin apni kuch nekiyon par unho ne sari umar pardah dale rakha
" Isse pehle ke Maa appna dukhra tafseel se sunati, Marhoom Mohammed Ali sare muamley ki teyh tak pohanch gaey",Positive,isse pehle ke maa appna dukhra tafseel se sunati marhoom mohammed ali sare muamley ki teyh tak pohanch gaey
 Forun Telephone uthaya aur dost ko phone kiya aur ladki ke muft ilaaj ka bandobast kar diya,Positive,forun telephone uthaya aur dost ko phone kiya aur ladki ke muft ilaaj ka bandobast kar diya
        Lekin is tarha ke kitne waqeaat honge jo manzar-e-aam par to nahi aae magar marhoom ko Jawar-e-rehmat mein jagah dene ki sifarish zaroor kar rahe honge,Positive,lekin is tarha ke kitne waqeaat honge jo manzar e aam par to nahi aae magar marhoom ko jawar e rehmat mein jagah dene ki sifarish zaroor kar rahe honge
